"PID","CITY","ZIPCODE","LUC","OWN_OCC","LIVING_AREA","YR_BUILT","EXT_COND","BED_RMS","FULL_BTH","VALUE_2015","VALUE_2016","VALUE_2017","VALUE_2018","VALUE_2019","VALUE_2020","VALUE_2021"
101168000,"EAST BOSTON","02128",101,"Y",1550,1910,"A - Average",3,1,216500,286500,303700,311700,327400,366800,469000
101196000,"EAST BOSTON","02128",101,"Y",3269,1910,"G - Good",6,4,515000,566300,566300,623000,685300,770000,977700
101202000,"EAST BOSTON","02128",101,"Y",2147,1910,"A - Average",4,1,436300,483900,483900,532300,585500,655600,749700
101224000,"EAST BOSTON","02128",101,"Y",1025,1920,"A - Average",2,2,355100,391700,391700,430900,474000,529100,602400
101231000,"EAST BOSTON","02128",101,"Y",2056,1930,"F - Fair",3,1,392500,431400,431400,474500,522000,589100,706100
101245000,"EAST BOSTON","02128",101,"Y",2029,1926,"A - Average",3,1,296100,348100,348100,382900,421200,470800,602300
101252000,"EAST BOSTON","02128",101,"Y",2204,1910,"A - Average",4,1,287400,373500,373500,410800,451900,506200,608500
101254000,"EAST BOSTON","02128",101,"Y",2335,1900,"A - Average",5,1,323100,374800,374800,412300,453600,507900,637400
101255000,"EAST BOSTON","02128",101,"Y",2558,1915,"A - Average",3,1,405200,441300,441300,485400,534000,600300,771800
101256000,"EAST BOSTON","02128",101,"Y",2050,1915,"A - Average",3,1,316800,366300,366300,402900,443200,496400,614000
101289000,"EAST BOSTON","02128",101,"Y",2519,1910,"A - Average",5,3,438800,484200,484200,532600,585900,656100,823000
101291000,"EAST BOSTON","02128",101,"N",2200,1915,"A - Average",5,1,373700,421200,421200,463400,509700,592800,676700
101299000,"EAST BOSTON","02128",101,"N",980,1950,"A - Average",2,1,243800,298400,298400,328200,361000,404600,462200
101301000,"EAST BOSTON","02128",101,"N",2090,1950,"G - Good",5,2,503700,523700,523700,576100,633700,708800,883000
101315000,"EAST BOSTON","02128",101,"N",1144,1915,"A - Average",3,2,263600,286000,286000,314600,346100,387600,503400
101317000,"EAST BOSTON","02128",101,"N",1518,1930,"A - Average",3,1,254100,284500,284500,312900,344200,385600,501700
101332000,"EAST BOSTON","02128",101,"Y",1292,1910,"F - Fair",3,2,318800,316700,268700,295600,325100,364200,449500
101335000,"EAST BOSTON","02128",101,"N",1341,1915,"A - Average",4,1,234100,257800,257800,283600,312000,349400,491400
101347000,"EAST BOSTON","02128",101,"N",1667,1930,"G - Good",4,1,285700,331600,331600,364800,401300,449800,541300
101348000,"EAST BOSTON","02128",101,"Y",1603,1920,"A - Average",3,3,412700,432700,432700,475900,523500,587600,741300
101350000,"EAST BOSTON","02128",101,"Y",2376,1940,"A - Average",4,2,349800,392900,392900,432200,555000,623000,815300
